GEOID,NAME,day1,day2,day3,day4,day5,day6,day7
13027,Brooks,96,97,99,97,96,96,96
31095,Jefferson,92,95,94,90,91,92,91
51683,Manassas,101,103,100,97,92,89,84
56021,Laramie,92,91,89,93,93,92,91
13135,Gwinnett,99,99,99,98,95,94,93
20001,Allen,93,93,95,93,92,92,92
27065,Kanabec,89,83,80,84,87,88,86
28107,Panola,95,96,95,94,93,93,92
31185,York,90,94,90,89,90,91,91
42063,Indiana,96,96,94,90,87,87,87
48327,Menard,97,97,99,98,95,96,98
29173,Ralls,95,95,94,91,90,90,91
48151,Fisher,100,101,102,101,100,101,103
72081,Lares,,,,,,,
51183,Sussex,99,102,102,101,98,93,90
47183,Weakley,99,99,97,96,94,93,93
26105,Mason,88,85,87,85,85,87,83
48159,Franklin,93,93,94,94,94,94,96
08075,Logan,94,94,92,94,94,94,94
22119,Webster,94,94,95,94,94,94,95
31045,Dawes,94,92,92,98,97,96,94
51139,Page,101,100,97,96,91,88,88
13161,Jeff Davis,98,99,100,100,98,98,97
18117,Orange,94,95,93,92,90,89,89
27015,Brown,89,87,85,85,88,90,88
31079,Hall,91,94,88,88,88,90,89
21223,Trimble,95,96,94,93,90,90,90
55113,Sawyer,89,85,81,83,88,88,87
41027,Hood River,76,82,83,87,89,86,84
21169,Metcalfe,94,94,92,93,91,89,89
26007,Alpena,90,89,82,79,84,89,85
19095,Iowa,92,92,91,88,89,90,90
13061,Clay,95,96,97,95,93,93,92
18177,Wayne,94,94,92,89,86,86,87
29227,Worth,90,91,91,88,88,89,90
31157,Scotts Bluff,94,93,92,96,95,95,94
39107,Mercer,96,95,93,89,86,87,88
01015,Calhoun,98,99,98,97,95,93,93
37095,Hyde,93,96,98,97,97,94,88
19019,Buchanan,90,90,89,86,87,89,88
27121,Pope,89,85,82,85,89,89,87
21181,Nicholas,96,96,93,94,91,90,89
42053,Forest,96,94,92,89,86,88,87
46077,Kingsbury,91,88,86,88,90,90,88
48375,Potter,98,103,104,100,99,99,102
48413,Schleicher,95,96,97,97,94,95,97
51580,Covington,96,96,94,94,92,90,88
54063,Monroe,94,92,92,93,91,89,87
48499,Wood,95,95,97,96,96,96,98
18041,Fayette,94,94,92,90,87,87,88
28023,Clarke,97,98,97,95,94,93,93
04023,Santa Cruz,102,104,104,106,107,107,106
17007,Boone,93,89,87,84,85,87,87
28039,George,97,97,97,95,94,94,96
37113,Macon,94,92,93,92,90,89,88
40025,Cimarron,100,102,100,95,97,97,98
01043,Cullman,96,95,95,94,93,92,91
39065,Hardin,96,95,93,89,86,87,88
20105,Lincoln,94,98,96,92,90,92,93
22059,LaSalle,95,95,97,96,95,95,97
36123,Yates,98,95,90,86,84,87,89
21035,Calloway,97,97,96,95,93,92,91
48045,Briscoe,97,100,103,101,100,100,103
48265,Kerr,95,96,97,97,95,96,97
72067,Hormigueros,,,,,,,
20009,Barton,94,97,97,92,90,92,93
16075,Payette,86,90,97,97,99,98,97
48269,King,101,102,103,101,100,100,103
39161,Van Wert,97,95,93,89,87,88,89
46125,Turner,90,91,88,89,91,91,90
19129,Mills,89,93,91,89,90,91,91
26001,Alcona,92,92,83,81,84,89,85
48165,Gaines,92,96,98,98,96,97,98
13201,Miller,95,96,97,95,93,94,93
18013,Brown,94,95,93,91,89,89,89
19023,Butler,88,89,87,85,86,88,87
40043,Dewey,93,99,101,98,95,96,99
31151,Saline,91,95,93,90,90,91,91
37069,Franklin,98,102,103,101,101,96,93
21219,Todd,96,96,94,93,92,91,90
48393,Roberts,96,102,103,99,97,98,100
54031,Hardy,103,101,97,97,91,89,90
48399,Runnels,99,99,100,99,96,97,100
48301,Loving,95,98,101,100,99,99,101
31089,Holt,93,93,90,92,94,94,92
17175,Stark,92,90,89,86,87,88,89
48193,Hamilton,96,98,99,98,97,98,99
16009,Benewah,75,79,82,83,91,91,88
19109,Kossuth,88,90,87,86,88,88,87
28141,Tishomingo,97,98,97,95,94,93,92
31131,Otoe,90,93,92,89,89,90,91
46051,Grant,93,89,85,89,92,91,88
16067,Minidoka,84,89,93,96,95,94,95
19157,Poweshiek,93,93,91,88,89,90,90
22001,Acadia,91,91,93,92,91,91,93
37079,Greene,97,99,101,100,100,96,93
42011,Berks,103,102,99,93,88,88,83
51600,Fairfax,100,101,99,95,89,87,81
48335,Mitchell,99,101,102,101,99,100,101
72073,Jayuya,,,,,,,
51790,Staunton,100,99,97,95,91,88,87
20171,Scott,96,100,97,92,93,94,95
31001,Adams,92,96,91,89,89,92,91
45053,Jasper,95,96,97,97,97,97,97
38047,Logan,89,85,84,91,91,88,87
29081,Harrison,91,92,92,89,89,90,91
20157,Republic,93,98,95,91,90,93,92
28087,Lowndes,97,98,97,96,95,94,94
51590,Danville,100,101,101,100,99,95,92
51650,Hampton,96,99,99,98,94,90,87
05029,Conway,99,97,97,96,96,95,96
17139,Moultrie,93,93,91,89,87,87,88
19105,Jones,92,91,90,87,87,89,90
27097,Morrison,89,85,81,85,88,88,86
29151,Osage,96,96,95,94,93,92,93
40061,Haskell,93,94,95,95,95,94,96
46057,Hamlin,91,88,86,89,91,90,88
54007,Braxton,94,95,96,94,90,89,88
05111,Poinsett,96,97,97,95,94,93,93
21137,Lincoln,94,95,93,93,91,89,88
17027,Clinton,95,96,95,93,91,90,91
37147,Pitt,96,98,100,100,100,97,93
29207,Stoddard,96,95,95,94,92,91,91
17045,Edgar,93,93,91,89,87,88,88
21191,Pendleton,97,97,95,93,90,89,90
36073,Orleans,96,95,91,88,86,87,86
38011,Bowman,90,84,89,97,94,92,90
01117,Shelby,97,98,98,96,94,94,93
13217,Newton,99,99,99,98,95,95,94
39157,Tuscarawas,97,96,94,90,86,87,88
19135,Monroe,94,94,93,89,90,91,91
18113,Noble,94,92,90,86,84,86,87
29141,Morgan,95,95,96,94,93,92,92
36067,Onondaga,98,94,90,88,86,89,90
48493,Wilson,95,96,98,98,97,97,98
46087,McCook,91,90,87,89,91,91,90
48233,Hutchinson,97,103,104,100,99,99,102
72019,Barranquitas,,,,,,,
51840,Winchester,101,100,97,95,88,87,84
40105,Nowata,92,93,95,94,93,93,93
31129,Nuckolls,93,97,93,90,90,93,92
48325,Medina,97,98,99,99,97,98,99
17005,Bond,94,95,93,91,89,89,90
45069,Marlboro,99,100,101,102,101,99,96
